name,frames,a_mean,b_mean,a_std,b_std,a_range,b_range,max_da,max_db,flips,secs
ALG_2020-01-22_09-00-40_track_manual_857-1096_20260625_154637,240,-53.81,24.08,0.11,0.13,0.44,0.55,0.04,0.12,0,0.6
ALG_2020-01-23_09-00-40_track124_2470-2516_20260506_132342,169,-52.32,20.69,0.06,0.07,0.22,0.27,0.03,0.06,0,0.4
ALG_2020-01-23_09-00-40_track124_2471-2508_20260506_131608,169,-52.31,20.69,0.06,0.07,0.23,0.27,0.03,0.06,0,0.4
ALG_2020-01-23_09-00-40_track31_675-739_20260506_131118,161,-52.25,20.60,0.08,0.16,0.34,0.67,0.03,0.06,0,0.4
ALG_2020-01-23_09-00-40_track58_987-1008_20260506_132217,118,-52.29,20.66,0.05,0.09,0.20,0.40,0.03,0.07,0,0.4
ALG_2020-01-27_12-00-40_track_manual_982-1162_20260625_164314,181,8.67,-56.89,0.35,0.14,1.08,0.51,0.09,0.08,0,0.5
ALG_2020-01-29_09-00-40_track60_797-829_20260506_130527,168,-21.57,-26.91,0.30,0.26,0.94,0.88,0.12,0.13,0,0.4
ALG_2020-01-29_09-00-40_track_manual_455-574_20260816_095541,168,-22.30,-26.31,0.49,0.49,1.65,1.60,0.17,0.20,0,0.4
ALG_2020-01-30_09-00-40_track10002_196-247_20260313_112133,168,-11.81,-38.59,0.18,0.16,0.60,0.57,0.13,0.13,0,0.4
ALG_2020-02-01_09-00-41_track_manual_41-188_20260813_170623,169,-52.39,21.41,0.18,0.16,0.57,0.57,0.04,0.05,0,0.5
ALG_2020-02-10_09-00-40_track_manual_1397-2554_20260625_163934,1158,-46.25,9.08,0.15,0.19,0.62,0.88,0.05,0.11,0,2.8
ALG_SC_11_2024-07-08_12-00-41_track10002_142-438_20260312_104745,168,-51.06,20.67,0.03,0.09,0.16,0.34,0.04,0.09,0,0.4
ALG_SC_11_2024-07-08_12-00-41_track10019_18-105_20260312_104615,168,-51.19,20.96,0.09,0.20,0.61,1.24,0.17,0.32,0,0.4
ALG_SC_11_2024-07-08_12-00-41_track10040_1177-1256_20260312_105014,174,-51.06,20.78,0.03,0.07,0.14,0.29,0.04,0.09,0,0.4
ALG_SC_11_2024-07-12_15-00-39_track10001_91-506_20260311_125244,310,-51.85,23.20,0.05,0.11,0.22,0.55,0.03,0.08,0,0.7
ALG_SC_11_2024-07-14_15-00-40_track10028_715-808_20260311_124354,188,-52.06,23.20,0.02,0.05,0.11,0.21,0.05,0.09,0,0.5
ALG_SC_11_2024-07-14_15-00-40_track10084_1987-2072_20260311_124835,199,-52.02,23.10,0.02,0.03,0.09,0.15,0.03,0.07,0,0.4
ALG_SC_11_2024-07-16_15-00-39_track10004_1933-1854_20260311_130805,227,-51.42,21.07,0.04,0.07,0.20,0.30,0.05,0.10,0,0.5
ALG_SC_11_2024-07-16_15-00-39_track10015_799-1006_20260311_130433,242,-51.48,21.16,0.06,0.06,0.24,0.29,0.05,0.11,0,0.5
ALG_SC_11_2024-07-17_15-00-40_track10002_91-211_20260311_131646,215,-51.00,20.52,0.06,0.10,0.24,0.42,0.05,0.10,0,0.4
ALG_SC_11_2024-07-18_12-00-40_track10002_279-525_20260311_131417,114,-51.14,21.35,0.03,0.06,0.13,0.25,0.04,0.09,0,0.3
ALG_SC_11_2024-07-19_09-00-39_track10018_572-636_20260311_131951,166,-51.57,21.24,0.03,0.07,0.14,0.35,0.04,0.09,0,0.3
ALG_SC_11_2024-07-19_09-00-39_track10021_1760-1917_20260311_132449,252,-51.33,20.72,0.07,0.18,0.25,0.62,0.04,0.12,0,0.6
ALG_SC_11_2024-07-28_12-00-40_track10053_2230-2346_20260311_133746,211,-59.80,41.83,0.04,0.11,0.17,0.48,0.04,0.09,0,0.5
ALG_SC_11_2024-07-30_09-00-39_track10003_69-182_20260311_132740,208,-58.05,39.65,0.06,0.09,0.21,0.34,0.04,0.09,0,0.4
ALG_SC_11_2024-07-30_09-00-39_track10019_671-781_20260311_133408,205,-57.84,39.16,0.13,0.32,0.43,1.03,0.10,0.09,0,0.5
ALG_SC_14_2024-06-08_12-00-40_track10115_818-871_20260311_135752,168,-51.44,29.53,0.07,0.15,0.36,0.65,0.07,0.11,0,0.4
ALG_SC_14_2024-06-08_12-00-40_track44_871-887_20260311_135918,168,-51.53,29.67,0.18,0.25,0.62,0.87,0.11,0.13,0,0.4
ALG_SC_14_2024-06-10_09-00-39_track3_150-175_20260311_142040,168,-51.57,28.10,0.05,0.22,0.34,0.82,0.08,0.13,0,0.4
ALG_SC_14_2024-06-11_09-00-40_track182_878-899_20260311_141110,168,-49.64,23.23,0.12,0.14,0.65,0.98,0.19,0.36,0,0.3
ALG_SC_14_2024-06-13_15-00-39_track10066_1555-1615_20260311_141809,168,-48.58,22.08,0.69,0.57,2.89,2.27,0.31,0.76,0,0.4
ALG_SC_14_2024-06-13_15-00-39_trackmanual_1_0-1680_20260311_141705,168,-48.56,22.06,0.68,0.55,2.90,2.27,0.32,0.75,0,0.3
ALG_SC_14_2024-07-09_15-00-40_track10141_1333-1596_20260312_102313,168,-51.47,26.38,0.03,0.07,0.14,0.30,0.05,0.11,0,0.3
ALG_SC_14_2024-07-11_09-00-40_track10197_1900-1992_20260312_102049,187,-52.01,27.23,0.13,0.64,0.55,2.43,0.06,0.15,0,0.4
ALG_SC_14_2024-07-17_15-00-40_trackmanual_1_0-1636_20260313_100318,239,-45.89,15.92,0.06,0.05,0.27,0.25,0.06,0.09,0,0.5
