name,site,r_med,r_p99,r_zero,r_uniq
ALG_2020-01-22_09-00-40_track_manual_857-1096_20260625_154637,Algapelago,0.0,2.0,0.9921875,25
ALG_2020-01-23_09-00-40_track124_2470-2516_20260506_132342,Algapelago,0.0,3.0,0.9878144290123457,25
ALG_2020-01-23_09-00-40_track124_2471-2508_20260506_131608,Algapelago,0.0,3.0,0.9878235918209877,25
ALG_2020-01-23_09-00-40_track31_675-739_20260506_131118,Algapelago,0.0,3.0,0.9896715856481482,24
ALG_2020-01-23_09-00-40_track58_987-1008_20260506_132217,Algapelago,0.0,3.0,0.9890538194444445,24
ALG_2020-01-27_12-00-40_track_manual_982-1162_20260625_164314,Algapelago,0.0,3.0,0.9893475115740741,28
ALG_2020-01-29_09-00-40_track60_797-829_20260506_130527,Algapelago,0.0,2.0,0.9995293209876543,9
ALG_2020-01-29_09-00-40_track_manual_455-574_20260816_095541,Algapelago,0.0,1.0,0.9997010030864197,6
ALG_2020-01-30_09-00-40_track10002_196-247_20260313_112133,Algapelago,0.0,2.0,0.998653549382716,13
ALG_2020-02-01_09-00-41_track_manual_41-188_20260813_170623,Algapelago,0.0,2.0,0.9974720293209877,16
ALG_2020-02-10_09-00-40_track_manual_1397-2554_20260625_163934,Algapelago,0.0,4.0,0.9714419367283951,33
ALG_SC_11_2024-07-08_12-00-41_track10002_142-438_20260312_104745,Algapelago,0.0,3.0,0.9894434799382716,27
ALG_SC_11_2024-07-08_12-00-41_track10019_18-105_20260312_104615,Algapelago,0.0,2.0,0.9987282986111111,25
ALG_SC_11_2024-07-08_12-00-41_track10040_1177-1256_20260312_105014,Algapelago,0.0,2.0,0.9903501157407407,22
ALG_SC_11_2024-07-12_15-00-39_track10001_91-506_20260311_125244,Algapelago,0.0,2.0,0.9903438464506172,25
ALG_SC_11_2024-07-14_15-00-40_track10028_715-808_20260311_124354,Algapelago,0.0,2.0,0.9917472029320987,18
ALG_SC_11_2024-07-14_15-00-40_track10084_1987-2072_20260311_124835,Algapelago,0.0,2.0,0.9904673032407407,17
ALG_SC_11_2024-07-16_15-00-39_track10004_1933-1854_20260311_130805,Algapelago,0.0,3.0,0.9895355902777778,25
ALG_SC_11_2024-07-16_15-00-39_track10015_799-1006_20260311_130433,Algapelago,0.0,3.0,0.9893605324074074,23
ALG_SC_11_2024-07-17_15-00-40_track10002_91-211_20260311_131646,Algapelago,0.0,3.0,0.9874754050925926,22
ALG_SC_11_2024-07-18_12-00-40_track10002_279-525_20260311_131417,Algapelago,0.0,2.0,0.9911955054012346,26
ALG_SC_11_2024-07-19_09-00-39_track10018_572-636_20260311_131951,Algapelago,0.0,2.0,0.9956264467592593,21
ALG_SC_11_2024-07-19_09-00-39_track10021_1760-1917_20260311_132449,Algapelago,0.0,2.0,0.9952797067901235,24
ALG_SC_11_2024-07-28_12-00-40_track10053_2230-2346_20260311_133746,Algapelago,0.0,2.0,0.9950757137345679,21
ALG_SC_11_2024-07-30_09-00-39_track10003_69-182_20260311_132740,Algapelago,0.0,2.0,0.9969169560185185,15
ALG_SC_11_2024-07-30_09-00-39_track10019_671-781_20260311_133408,Algapelago,0.0,2.0,0.9968036265432099,14
ALG_SC_14_2024-06-08_12-00-40_track10115_818-871_20260311_135752,Algapelago,0.0,1.0,0.9996870177469136,13
ALG_SC_14_2024-06-08_12-00-40_track44_871-887_20260311_135918,Algapelago,0.0,1.0,0.9997362075617284,5
ALG_SC_14_2024-06-10_09-00-39_track3_150-175_20260311_142040,Algapelago,0.0,1.0,0.9998017939814815,6
ALG_SC_14_2024-06-11_09-00-40_track182_878-899_20260311_141110,Algapelago,0.0,1.0,0.9997270447530864,9
ALG_SC_14_2024-06-13_15-00-39_track10066_1555-1615_20260311_141809,Algapelago,0.0,1.0,0.9999189814814815,5
ALG_SC_14_2024-06-13_15-00-39_trackmanual_1_0-1680_20260311_141705,Algapelago,0.0,2.0,0.9991401427469135,8
ALG_SC_14_2024-07-09_15-00-40_track10141_1333-1596_20260312_102313,Algapelago,0.0,2.0,0.9996277006172839,6
ALG_SC_14_2024-07-11_09-00-40_track10197_1900-1992_20260312_102049,Algapelago,0.0,1.0,0.9997391010802469,11
ALG_SC_14_2024-07-17_15-00-40_trackmanual_1_0-1636_20260313_100318,Algapelago,0.0,2.0,0.9991261574074074,7
ALG_anjali_2025-04-19_cuttlefish,Algapelago,0.0,2.0,0.9983449074074074,19
ATLMAR_2025-09-08_13-00-46_track_manual_1925-2817_20260625_163744,,3.0,26.0,0.49811680169753086,80
ATLMAR_2025-09-08_13-00-46_track_manual_41-490_20260625_161133,,4.0,27.0,0.403608699845679,88
ATLMAR_2025-09-08_15-00-46_track_manual_76-266_20260625_160932,,2.0,26.0,0.5518397955246913,98
ATLMAR_2025-09-11_11-00-45_track_manual_0-219_20260625_160530,,0.0,3.0,0.9850294174382717,40
ATLMAR_2025-09-11_11-00-45_track_manual_302-427_20260625_154825,Atlantic Mariculture,0.0,5.0,0.9503824266975308,37
ATLMAR_2025-09-11_11-00-45_track_manual_967-1566_20260625_160820,,0.0,5.0,0.9525144675925926,39
ATLMAR_2025-09-20_15-00-45_track_manual_1045-1964_20260625_154251,,1.0,16.0,0.7021551890432098,77
ATLMAR_2025-09-21_15-00-47_track_manual_2170-2696_20260625_154121,,3.0,35.0,0.47889467592592594,76
ATLMAR_2025-09-22_15-00-47_track_manual_367-1343_20260625_153841,,0.0,8.0,0.9132277199074074,64
