name,site,L,a,b,R,G,B,size_mb
ALG_2020-01-22_09-00-40_track_manual_857-1096_20260625_154637,Algapelago,64.56156,-53.93554,23.47165,0.23756944444444444,179.37258680555556,112.87100694444445,6.026887
ALG_2020-01-23_09-00-40_track124_2470-2516_20260506_132342,Algapelago,64.318665,-52.35234,20.084839,0.2610763888888889,178.22375,118.54791666666667,4.796833
ALG_2020-01-23_09-00-40_track124_2471-2508_20260506_131608,Algapelago,64.32511,-52.361595,20.09938,0.2624826388888889,178.24057291666668,118.53692708333334,4.802191
ALG_2020-01-23_09-00-40_track31_675-739_20260506_131118,Algapelago,64.31772,-52.196823,19.757446,0.23744791666666668,178.17798611111112,119.1529861111111,4.527079
ALG_2020-01-23_09-00-40_track58_987-1008_20260506_132217,Algapelago,64.394104,-52.41606,20.137512,0.2456597222222222,178.44333333333333,118.62423611111112,3.292147
ALG_2020-01-27_12-00-40_track_manual_982-1162_20260625_164314,Algapelago,51.676205,7.9243774,-56.981148,0.22296875,124.95684027777777,221.38460069444446,9.898367
ALG_2020-01-29_09-00-40_track60_797-829_20260506_130527,Algapelago,58.980976,-21.33583,-27.571114,0.13866319444444444,155.52784722222222,190.3675173611111,7.110908
ALG_2020-01-29_09-00-40_track_manual_455-574_20260816_095541,Algapelago,60.826595,-23.09172,-26.591125,0.16244791666666666,160.99276041666667,193.58479166666666,7.187153
ALG_2020-01-30_09-00-40_track10002_196-247_20260313_112133,Algapelago,58.05807,-11.872879,-38.87108,0.17574652777777777,149.80114583333332,207.54489583333333,6.976116
ALG_2020-02-01_09-00-41_track_manual_41-188_20260813_170623,Algapelago,63.69351,-52.288246,20.798508,0.18739583333333334,176.47994791666667,115.70710069444445,4.033229
ALG_2020-02-10_09-00-40_track_manual_1397-2554_20260625_163934,Algapelago,63.24148,-46.146652,8.391724,0.35772569444444446,173.62723958333333,137.2590972222222,37.953656
ALG_SC_11_2024-07-08_12-00-41_track10002_142-438_20260312_104745,Algapelago,62.49537,-51.05877,19.78241,0.23697916666666666,173.32510416666668,115.29451388888889,3.014399
ALG_SC_11_2024-07-08_12-00-41_track10019_18-105_20260312_104615,Algapelago,62.588764,-50.81658,19.04544,0.12361111111111112,173.51020833333334,116.83944444444444,3.214488
ALG_SC_11_2024-07-08_12-00-41_track10040_1177-1256_20260312_105014,Algapelago,62.515438,-51.04724,19.723785,0.23168402777777777,173.40348958333334,115.47104166666666,3.543644
ALG_SC_11_2024-07-12_15-00-39_track10001_91-506_20260311_125244,Algapelago,62.184174,-52.006042,22.56633,0.2506597222222222,172.99184027777778,109.55980902777777,5.668139
ALG_SC_11_2024-07-14_15-00-40_track10028_715-808_20260311_124354,Algapelago,62.59722,-52.155937,22.396133,0.23862847222222222,174.11779513888888,110.85244791666666,2.873841
ALG_SC_11_2024-07-14_15-00-40_track10084_1987-2072_20260311_124835,Algapelago,62.587456,-52.077118,22.228546,0.24928819444444444,174.09380208333334,111.16848958333334,3.729348
ALG_SC_11_2024-07-16_15-00-39_track10004_1933-1854_20260311_130805,Algapelago,63.06739,-51.495766,20.14685,0.2335590277777778,175.03571180555556,116.01701388888888,3.642057
ALG_SC_11_2024-07-16_15-00-39_track10015_799-1006_20260311_130433,Algapelago,63.115456,-51.611855,20.370499,0.24739583333333334,175.19588541666667,115.70479166666667,3.990773
ALG_SC_11_2024-07-17_15-00-40_track10002_91-211_20260311_131646,Algapelago,62.707474,-51.124916,19.794586,0.26394097222222224,174.0874826388889,115.95946180555555,3.43992
ALG_SC_11_2024-07-18_12-00-40_track10002_279-525_20260311_131417,Algapelago,62.23742,-51.13311,20.419052,0.25015625,172.88116319444444,113.71185763888889,1.848621
ALG_SC_11_2024-07-19_09-00-39_track10018_572-636_20260311_131951,Algapelago,63.079166,-51.666924,20.40532,0.18595486111111112,174.96548611111112,115.35699652777778,2.818278
ALG_SC_11_2024-07-19_09-00-39_track10021_1760-1917_20260311_132449,Algapelago,63.056816,-51.3675,19.774597,0.19760416666666666,174.8606076388889,116.54138888888889,4.163062
ALG_SC_11_2024-07-28_12-00-40_track10053_2230-2346_20260311_133746,Algapelago,63.660053,-60.028366,41.155746,0.20097222222222222,178.9634201388889,75.45809027777777,4.062285
ALG_SC_11_2024-07-30_09-00-39_track10003_69-182_20260311_132740,Algapelago,62.003643,-58.25557,38.922897,0.19340277777777778,174.32206597222222,76.31506944444445,4.11789
ALG_SC_11_2024-07-30_09-00-39_track10019_671-781_20260311_133408,Algapelago,62.24428,-58.11622,38.143356,0.17668402777777778,174.9478472222222,78.59072916666666,4.907771
ALG_SC_14_2024-06-08_12-00-40_track10115_818-871_20260311_135752,Algapelago,56.606087,-51.67404,28.863068,0.13921875,159.12717013888889,84.93414930555555,4.65295
ALG_SC_14_2024-06-08_12-00-40_track44_871-887_20260311_135918,Algapelago,56.481342,-51.55361,28.756699,0.14178819444444443,158.76821180555555,84.83623263888889,4.690138
ALG_SC_14_2024-06-10_09-00-39_track3_150-175_20260311_142040,Algapelago,57.706837,-51.726494,27.44075,0.1371875,161.82328125,90.19652777777777,3.902981
ALG_SC_14_2024-06-11_09-00-40_track182_878-899_20260311_141110,Algapelago,57.67922,-49.716873,22.365814,0.14369791666666668,161.22592013888888,99.90229166666667,3.594513
